38 Sea Zone  (3390,1477)  (3342,1524)  (3342,1476)  (3437,1525)  (3390,1429)  (3438,1429)  (3438,1477)  (3340,1428)  (3389,1572)  (3341,1572)  (3451,1573)  (3388,1381)  (3436,1381)  (3333,1380)  (3381,1333)  (3429,1333)  (3333,1332)  (3381,1285)  (3333,1284)  | overflowToLeft=false
Angola  (1062,1725)  (1045,1771)  | overflowToLeft=false
Colombia/Venezuela  (105,1129)  (57,1176)  (82,1081)  (130,1081)  (178,1056)  (90,1224)  (226,1052)  | overflowToLeft=false
Eastern Europe  (1237,392)  (1189,409)  (1271,440)  (1228,344)  (1276,344)  (1285,392)  (1223,457)  | overflowToLeft=false
29 Sea Zone  (1483,1311)  (1530,1359)  (1482,1359)  (1495,1263)  (1531,1311)  (1543,1251)  (1578,1359)  (1578,1407)  (1530,1407)  (1482,1407)  (1579,1299)  (1434,1418)  (1590,1203)  (1591,1251)  (1364,1275)  (1353,1227)  (1626,1347)  (1626,1395)  (1626,1443)  (1578,1455)  (1530,1455)  (1482,1455)  (1627,1299)  (1333,1179)  (1434,1466)  (1638,1171)  (1639,1219)  (1386,1477)  (1674,1347)  (1674,1395)  (1674,1443)  (1675,1267)  (1683,1122)  (1685,1008)  | overflowToLeft=false
Balkans  (1251,677)  (1203,650)  (1298,725)  (1250,725)  (1251,629)  (1299,648)  (1202,739)  (1299,773)  (1251,773)  (1214,581)  (1262,581)  (1246,533)  (1294,533)  | overflowToLeft=false
47 Sea Zone  (2558,791)  (2593,839)  (2597,632)  (2606,745)  (2617,680)  (2641,793)  (2641,841)  (2645,591)  (2654,728)  (2665,639)  (2672,929)  (2672,977)  (2672,1025)  (2672,1117)  (2689,776)  (2689,824)  (2689,872)  (2693,558)  (2702,687)  (2713,606)  (2718,510)  (2720,920)  (2720,968)  (2720,1016)  (2720,1120)  (2731,460)  (2735,408)  (2737,735)  (2737,783)  (2737,831)  (2741,558)  (2741,1064)  (2750,654)  (2761,606)  (2766,508)  (2768,902)  (2768,950)  (2768,998)  (2768,1112)  (2779,456)  (2783,408)  (2785,702)  (2785,750)  (2785,798)  (2789,556)  (2789,1046)  (2798,654)  (2809,604)  (2814,504)  (2827,456)  | overflowToLeft=false
Solomon Islands  (2976,1470)  (3037,1515)  | overflowToLeft=false
Mongolia  (2217,516)  (2169,543)  (2169,495)  (2265,488)  (2265,536)  (2313,488)  (2313,536)  (2361,503)  | overflowToLeft=false
3 Sea Zone  (607,2)  (607,50)  (655,2)  (655,50)  (703,2)  (703,50)  (751,2)  (751,50)  (846,71)  (879,2)  (894,50)  (927,2)  (942,50)  (975,2)  (990,50)  (1023,2)  (1071,2)  (1119,2)  | overflowToLeft=false
West Russia  (1492,418)  (1444,465)  (1444,417)  (1539,466)  (1492,370)  (1540,370)  (1540,418)  (1442,369)  (1396,469)  (1396,421)  (1587,466)  (1588,343)  (1588,391)  (1377,373)  (1635,439)  (1636,339)  (1636,387)  (1683,435)  (1684,372)  | overflowToLeft=false
13 Sea Zone  (418,861)  (465,909)  (417,909)  (373,813)  (421,813)  (466,861)  (469,810)  (490,957)  (442,957)  (394,957)  (373,765)  (421,765)  (469,762)  | overflowToLeft=false
15 Sea Zone  (680,659)  (666,611)  (666,493)  (714,479)  (666,445)  (714,431)  (666,397)  (666,349)  | overflowToLeft=false
Borneo  (2433,1379)  (2434,1425)  (2478,1378)  (2463,1330)  (2417,1333)  (2483,1424)  (2384,1380)  | overflowToLeft=false
28 Sea Zone  (1158,1950)  (1206,1921)  (1235,1863)  (1254,1911)  (1271,1815)  (1282,1767)  (1283,1863)  (1287,1641)  (1292,1689)  (1302,1911)  (1309,1554)  (1335,1602)  (1340,1650)  (1340,1698)  (1350,1935)  (1357,1527)  (1383,1575)  (1388,1623)  (1388,1671)  (1398,1925)  (1405,1527)  (1431,1575)  (1431,1877)  (1432,1785)  (1436,1623)  (1446,1925)  (1450,1671)  (1453,1527)  (1456,1719)  (1479,1575)  (1479,1833)  (1480,1767)  (1484,1623)  (1494,1881)  (1494,1929)  (1498,1671)  (1501,1527)  (1504,1719)  (1527,1575)  (1527,1815)  (1528,1767)  (1532,1623)  (1542,1863)  (1542,1911)  (1546,1671)  (1549,1527)  (1552,1719)  (1575,1575)  (1575,1815)  (1576,1767)  (1580,1623)  | overflowToLeft=false
